cod_ibge,nome,uf,nome_uf,familias_cadastradas,familias_pobreza,familias_baixa_renda,familias_acima_meio_sm,familias_elegiveis,source_id,data_referencia,renda_referencia,renda_fonte,beneficiarios_tsee,subsidio_tsee_reais,source_id_tsee_municipio,data_referencia_tsee_municipio,tarifa_municipal_estimada,tarifa_flag_estimativa,distribuidoras_usadas,dec_apurado,fec_apurado,dec_limite,fec_limite,dec_rel,fec_rel,compensacoes_decfec_reais,dom_favela,dom_total,lacuna_bruta,d1_lacuna_tsee,conta_estimada,d2_peso_conta_renda,d3_qualidade,d4_vulnerabilidade_territorial,n_d1_lacuna_tsee,n_d2_peso_conta_renda,n_d3_qualidade,n_d4_vulnerabilidade_territorial,n_dimensoes_validas,ipem,ipem_dois_piores,dois_piores_indicadores,ranking,faixa,subsidio_por_familia
1301001,Carauari,AM,Carauari (AM),8993,5899,1393,1701,7292,mds_cecad,2026-08,591.2013426329555,"IBGE Censo 2022 SIDRA 10296, média aproximada por faixas",3867,150206.61,aneel_cde,2024-12,0.695701,True,mediana nacional B1 residencial ANEEL 2024 com carga tributaria estimada,4.39,3.82,54.0,89.0,0.0812962962962963,0.04292134831460674,444933.24,966,1038,3425,0.4696928140427866,69.5701,0.11767581529866764,0.0812962962962963,0.930635838150289,56.937498792518625,84.59687922539362,23.282394127307878,100.0,4,66.20419303630503,92.29843961269681,"D4, D2",31,Muito alta,38.84318851823118
3509700,Campos do Jordão,SP,Campos do Jordão (SP),5082,1237,1386,2459,2623,mds_cecad,2026-08,1698.0652062076654,"IBGE Censo 2022 SIDRA 10296, média aproximada por faixas",1275,39684.76,aneel_cde,2024-12,0.695701,True,mediana nacional B1 residencial ANEEL 2024 com carga tributaria estimada,2.05,1.06,7.0,6.0,0.2928571428571428,0.17666666666666667,96274.19,2905,3251,1348,0.5139153640869234,69.5701,0.040970217012674545,0.2928571428571428,0.8935712088588127,62.298282084193104,20.319391414144448,85.21555786639212,96.82813939059356,4,66.1653426888308,91.02184862849285,"D4, D3",32,Muito alta,31.125301960784316
5206206,Cristalina,GO,Cristalina (GO),14689,6343,2872,5474,9215,mds_cecad,2026-08,1398.9130118964988,"IBGE Censo 2022 SIDRA 10296, média aproximada por faixas",3623,114402.16,aneel_cde,2024-12,0.695701,True,mediana nacional B1 residencial ANEEL 2024 com carga tributaria estimada,3.7066666666666666,1.3,17.333333333333332,9.333333333333334,0.21384615384615385,0.1392857142857143,1367941.4,560,609,5592,0.606836679327184,69.5701,0.04973154113827577,0.21384615384615385,0.9195402298850575,73.56246819926878,27.66117502939032,62.08556666455986,99.64216468912328,4,65.73784364558556,86.60231644419602,"D4, D1",33,Muito alta,31.57663814518355
1301902,Itacoatiara,AM,Itacoatiara (AM),26647,13608,5752,7287,19360,mds_cecad,2026-08,764.7673813125436,"IBGE Censo 2022 SIDRA 10296, média aproximada por faixas",6503,233559.37000000002,aneel_cde,2024-12,0.695701,True,mediana nacional B1 residencial ANEEL 2024 com carga tributaria estimada,7.76,2.98,83.0,79.0,0.09349397590361445,0.03772151898734177,770709.2,6740,7913,12857,0.6641012396694215,69.5701,0.09096896873477953,0.09349397590361445,0.8517629217742955,80.50424107264138,62.21716975377491,26.85319137376177,92.29775769368145,4,65.46808997346487,86.4009993831614,"D4, D1",34,Muito alta,35.915634322620335
1504703,Moju,PA,Moju (PA),24157,15138,3730,5289,18868,mds_cecad,2026-08,638.6576337652122,"IBGE Censo 2022 SIDRA 10296, média aproximada por faixas",6918,296997.86,aneel_cde,2024-12,0.695701,True,mediana nacional B1 residencial ANEEL 2024 com carga tributaria estimada,3.4219999999999997,1.212,34.8,21.8,0.09833333333333333,0.05559633027522935,81053.91,369,519,11950,0.6333474666101335,69.5701,0.10893175986928835,0.09833333333333333,0.7109826589595376,76.77618123421878,77.26956637154882,28.269884117050314,77.04268817473326,4,64.83957997438779,77.15612727314104,"D2, D4",35,Muito alta,42.931173749638624
1302504,Manacapuru,AM,Manacapuru (AM),31498,19233,5788,6477,25021,mds_cecad,2026-08,703.1763945163448,"IBGE Censo 2022 SIDRA 10296, média aproximada por faixas",10407,381637.7,aneel_cde,2024-12,0.695701,True,mediana nacional B1 residencial ANEEL 2024 com carga tributaria estimada,6.48,2.94,70.0,87.0,0.09257142857142858,0.03379310344827586,318619.95999999996,5432,6424,14614,0.5840693817193557,69.5701,0.09893691048581253,0.09257142857142858,0.8455790784557908,70.80255162976268,68.89411759366017,26.583121198159166,91.6276711500713,4,64.47686539291333,81.21511138991698,"D4, D1",36,Muito alta,36.671250120111466
1301654,Guajará,AM,Guajará (AM),4369,3135,695,539,3830,mds_cecad,2026-08,615.5538561902,"IBGE Censo 2022 SIDRA 10296, média aproximada por faixas",2045,78304.54000000001,aneel_cde,2024-12,0.695701,True,mediana nacional B1 residencial ANEEL 2024 com carga tributaria estimada,4.39,3.82,54.0,89.0,0.0812962962962963,0.04292134831460674,444933.24,85,95,1785,0.4660574412532637,69.5701,0.11302033006597481,0.0812962962962963,0.8947368421052632,56.496808563447,80.69569206322392,23.282394127307878,96.9544484047456,4,64.3573357896811,88.82507023398476,"D4, D2",37,Muito alta,38.29072860635697
1303403,Parintins,AM,Parintins (AM),31577,20299,4355,6923,24654,mds_cecad,2026-08,819.0462341070257,"IBGE Censo 2022 SIDRA 10296, média aproximada por faixas",8305,319687.5,aneel_cde,2024-12,0.695701,True,mediana nacional B1 residencial ANEEL 2024 com carga tributaria estimada,7.76,2.98,83.0,79.0,0.09349397590361445,0.03772151898734177,770709.2,4583,5363,16349,0.6631378275330575,69.5701,0.08494038199913045,0.09349397590361445,0.8545590154764124,80.38745351338797,57.16535581739236,26.85319137376177,92.60074479538486,4,64.25168637498174,86.49409915438642,"D4, D1",38,Muito alta,38.49337748344371
1500107,Abaetetuba,PA,Abaetetuba (PA),59916,38409,6829,14678,45238,mds_cecad,2026-08,797.6870954448917,"IBGE Censo 2022 SIDRA 10296, média aproximada por faixas",18485,838360.9099999999,aneel_cde,2024-12,0.695701,True,mediana nacional B1 residencial ANEEL 2024 com carga tributaria estimada,3.28,1.2333333333333332,28.333333333333332,19.0,0.11576470588235294,0.06491228070175438,56377.7,1382,1614,26753,0.5913833502807374,69.5701,0.08721477431097073,0.11576470588235294,0.8562577447335812,71.6891717007571,59.07124309770848,33.372813453102644,92.78482054857534,4,64.22951220003588,82.23699612466622,"D4, D1",39,Muito alta,45.353579118203946
1304401,Urucurituba,AM,Urucurituba (AM),6847,4735,676,1436,5411,mds_cecad,2026-08,641.5973021352768,"IBGE Censo 2022 SIDRA 10296, média aproximada por faixas",3050,99540.25,aneel_cde,2024-12,0.695701,True,mediana nacional B1 residencial ANEEL 2024 com carga tributaria estimada,7.76,2.98,83.0,79.0,0.09349397590361445,0.03772151898734177,770709.2,615,646,2361,0.436333394936241,69.5701,0.10843265669675708,0.09349397590361445,0.9520123839009288,52.89357512941349,76.85132964820926,26.85319137376177,100.0,4,64.14952403784613,88.42566482410463,"D4, D2",40,Muito alta,32.63614754098361
