cod_ibge,linhas_tsee,subs_pos,subs_neg,n_negativos,subs_liquido
5203906,855.0,24996.99,0.0,0.0,24996.99
5203939,369.0,10882.89,0.0,0.0,10882.89
5203962,286.0,8051.6900000000005,-36.09,1.0,8015.599999999999
5204003,627.0,18838.32,0.0,0.0,18838.32
5204102,604.0,19132.17,0.0,0.0,19132.17
5204201,178.0,5339.4400000000005,0.0,0.0,5339.4400000000005
5204250,623.0,18545.890000000003,-67.3,2.0,18478.590000000004
5204300,847.0,27143.45,-36.04,1.0,27107.41
5204409,1513.0,46679.33,-117.03,5.0,46562.3
5204508,7791.0,242442.34999999998,-181.29,5.0,242261.06
5204557,263.0,8156.83,0.0,0.0,8156.83
5204607,332.0,10507.619999999999,0.0,0.0,10507.619999999999
5204656,271.0,7642.490000000001,0.0,0.0,7642.49
5204706,1324.0,41255.799999999996,0.0,0.0,41255.8
5204805,450.0,14116.380000000001,0.0,0.0,14116.380000000001
5204854,674.0,21960.859999999997,0.0,0.0,21960.859999999997
5204904,1957.0,55608.259999999995,-64.03999999999999,2.0,55544.22
5204953,587.0,17180.279999999995,-38.51,1.0,17141.769999999997
5205059,301.0,9487.3,0.0,0.0,9487.3
5205109,5698.0,174924.72999999998,-120.8,5.0,174803.93
5205208,571.0,18125.89,0.0,0.0,18125.89
5205307,1114.0,32707.020000000004,-352.72999999999996,12.0,32354.289999999997
5205455,605.0,18962.61,0.0,0.0,18962.61
5205471,338.0,11267.300000000001,0.0,0.0,11267.3
5205497,11327.0,355001.66,-264.36,10.0,354737.29999999993
5205513,2717.0,80703.08,-178.57,5.0,80524.51000000001
5205521,235.0,6665.92,-19.96,1.0,6645.959999999999
5205703,199.0,5724.0599999999995,0.0,0.0,5724.0599999999995
5205802,739.0,22670.54,-38.51,1.0,22632.03
5205901,561.0,17692.129999999997,0.0,0.0,17692.13
5206206,3623.0,114700.10999999999,-297.94999999999993,9.0,114402.15999999999
5206305,408.0,12716.150000000001,0.0,0.0,12716.15
5206404,997.0,32314.410000000003,-54.07,2.0,32260.339999999997
5206503,364.0,11471.63,-27.0,1.0,11444.630000000001
5206602,154.0,4602.450000000001,0.0,0.0,4602.45
5206701,522.0,14802.51,-16.98,1.0,14785.53
5206800,301.0,9091.63,0.0,0.0,9091.630000000001
5206909,235.0,6417.84,-30.95,1.0,6386.89
5207105,151.0,4563.29,0.0,0.0,4563.29
5207253,488.0,14642.31,-92.22999999999999,3.0,14550.08
